AAPL,AMGN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,DOW,GS,HD,HON,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PG,TRV,UNH,V,VZ,WBA,WMT
0,0,0,1,30,68,0,6,14,31,36,0,4,0,1,0,0,4,0,0,0,51,14,8,0,0,26,0,31,6
0,0,0,1,30,68,0,6,14,31,36,0,4,0,1,0,0,4,0,0,0,51,14,8,0,0,26,0,31,6
0,0,0,1,30,68,0,6,14,31,36,0,4,0,1,0,0,4,0,0,0,51,14,8,0,0,26,0,31,6
0,0,0,1,30,68,0,6,14,31,36,0,4,0,1,0,0,4,0,0,0,51,14,8,0,0,26,0,31,6
0,0,0,1,30,68,0,6,14,31,36,0,4,0,1,0,0,4,0,0,0,51,14,8,0,0,26,0,31,6
0,0,0,1,30,68,0,6,14,31,36,0,4,0,1,0,0,4,0,0,0,51,14,8,0,0,26,0,31,6
0,0,0,1,30,68,0,6,14,31,36,0,4,0,1,0,0,4,0,0,0,51,14,8,0,0,26,0,31,6
0,0,0,1,30,68,0,6,14,31,36,0,4,0,1,0,0,4,0,0,0,51,14,8,0,0,26,0,31,6
0,0,0,1,30,68,0,6,14,31,36,0,4,0,1,0,0,4,0,0,0,51,14,8,0,0,26,0,31,6
0,0,0,1,30,68,0,6,14,31,36,0,4,0,1,0,0,4,0,0,0,51,14,8,0,0,26,0,31,6
0,0,0,1,30,68,0,6,14,31,36,0,4,0,1,0,0,4,0,0,0,51,14,8,0,0,26,0,31,6
0,0,0,6,30,71,0,12,13,41,40,0,9,0,0,0,0,9,0,0,0,54,15,13,0,0,26,0,37,6
0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,19,0
0,0,1,-17,73,0,0,-9,-17,-1,0,0,0,0,0,0,0,0,0,0,0,-30,0,-28,0,0,-2,0,3,-22
0,0,0,0,65,0,0,-9,-17,-1,0,0,0,0,0,0,0,0,0,0,0,-30,0,-28,0,0,-2,0,3,-22
0,0,0,0,65,0,0,-9,-17,-1,0,0,0,0,0,0,0,0,0,0,0,-30,0,-28,0,0,-2,0,2,-22
0,0,1,0,56,0,0,-9,-17,-1,0,0,0,0,0,0,0,0,0,0,0,-30,0,-17,0,0,-2,0,2,-6
0,0,0,0,47,0,0,-9,-17,-1,0,0,0,0,0,0,0,0,0,0,0,-30,1,0,0,0,-2,0,1,0
0,0,0,0,47,0,0,-9,-17,-1,0,0,0,0,0,0,0,0,0,0,1,-30,0,0,0,0,-2,0,1,0
0,0,0,0,47,0,0,-9,-17,-1,0,0,0,0,0,0,0,0,0,0,0,-30,1,0,0,0,-2,0,2,0
0,0,0,0,47,0,0,-9,-17,-1,0,0,0,0,0,0,0,0,0,0,0,-30,0,0,0,0,-2,0,3,0
0,0,1,0,45,0,0,-6,-17,-1,0,0,0,0,0,0,0,0,0,0,0,-30,0,0,0,0,-2,0,1,0
0,0,0,0,42,0,0,0,-14,-1,0,0,0,0,0,0,0,0,0,0,0,-30,0,0,0,0,-2,0,4,0
0,0,0,0,37,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,1,-30,0,0,0,0,-2,0,4,0
0,0,0,0,37,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,1,-30,0,0,0,0,-2,0,3,0
0,0,0,0,37,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,1,-30,0,0,0,0,-2,0,2,0
0,0,0,0,37,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,1,-30,0,0,0,0,-2,0,2,0
0,0,0,0,37,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,1,-30,0,0,0,0,-2,0,4,0
0,0,1,0,37,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,-30,0,0,0,0,-2,0,1,0
0,0,0,0,37,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,1,-30,0,0,0,0,-2,0,3,0
0,0,0,0,37,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,1,-30,0,0,0,0,-2,0,3,0
0,0,0,0,37,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,1,-30,0,0,0,0,-2,0,1,0
0,0,0,0,37,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,1,-30,0,0,0,0,-2,0,3,0
0,0,0,0,37,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,1,-30,0,0,0,0,-2,0,1,0
0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-23,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,0,1,0
0,0,1,0,1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,0,1,0
0,0,1,0,1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,0,1,0
0,0,1,0,1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,0,2,0
0,0,1,0,1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,0,1,0
0,0,1,0,1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,0,1,0
0,0,1,0,1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,0,2,0
0,0,1,0,1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,0,1,0
0,0,1,0,1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,0,2,0
0,0,1,0,1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,0,1,0
0,0,1,0,1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,0,1,0
0,0,1,0,1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,0,2,0
0,0,1,0,1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,0,1,0
