date,account_value
2024-05-01 09:30:00,1000000.0
2024-05-01 09:45:00,999860.9643262671
2024-05-01 10:00:00,999835.1587932892
2024-05-01 10:15:00,999921.8977358799
2024-05-01 10:30:00,999784.5897705496
2024-05-01 10:45:00,1000486.7922728768
2024-05-01 11:00:00,999631.2980156252
2024-05-01 11:15:00,1000011.3636543066
2024-05-01 11:30:00,1000671.1895604841
2024-05-01 11:45:00,999072.6049345437
2024-05-01 12:00:00,999696.7841183529
2024-05-01 12:15:00,999486.0727676965
2024-05-01 12:30:00,998507.1941766226
2024-05-01 12:45:00,998596.0669612313
2024-05-01 13:00:00,998299.6750863687
2024-05-01 13:15:00,999808.1979417726
2024-05-01 13:30:00,1000210.4188529092
2024-05-01 13:45:00,1000113.0008481981
2024-05-01 14:00:00,1000895.1084883157
2024-05-01 14:15:00,1005245.026390999
2024-05-01 14:30:00,1013905.4353271485
2024-05-01 14:45:00,1014370.7575043165
2024-05-01 15:00:00,1013177.8622497026
2024-05-01 15:15:00,1011019.9514593851
2024-05-01 15:30:00,1003941.0556975404
2024-05-01 15:45:00,998519.9251966001
2024-05-02 09:30:00,1002775.5721345159
2024-05-02 09:45:00,1003293.0382329199
2024-05-02 10:00:00,999191.5872421361
2024-05-02 10:15:00,1003143.7076869489
2024-05-02 10:30:00,1000570.577500952
2024-05-02 10:45:00,1004404.4023488122
2024-05-02 11:00:00,1005748.4119172709
2024-05-02 11:15:00,1005399.434326996
2024-05-02 11:30:00,1006180.1995453397
2024-05-02 11:45:00,1005865.7652930471
2024-05-02 12:00:00,1003285.2184790822
2024-05-02 12:15:00,1003610.5462969991
2024-05-02 12:30:00,1004063.9913443776
2024-05-02 12:45:00,1005415.0494193288
2024-05-02 13:00:00,1007743.8933428975
2024-05-02 13:15:00,1007552.4345969411
2024-05-02 13:30:00,1007309.8614844533
2024-05-02 13:45:00,1006848.7801017019
2024-05-02 14:00:00,1008274.267234728
2024-05-02 14:15:00,1007909.1501445028
2024-05-02 14:30:00,1009546.6405028554
2024-05-02 14:45:00,1010608.0449313375
2024-05-02 15:00:00,1010602.4270514699
2024-05-02 15:15:00,1011023.3820418569
2024-05-02 15:30:00,1007466.2759646627
2024-05-02 15:45:00,1009956.669748232
2024-05-03 09:30:00,1023662.2482299062
2024-05-03 09:45:00,1025859.4002822324
2024-05-03 10:00:00,1018954.5825393469
2024-05-03 10:15:00,1018979.7049717924
2024-05-03 10:30:00,1017447.2538571836
2024-05-03 10:45:00,1015078.9635081865
2024-05-03 11:00:00,1015130.7566888181
2024-05-03 11:15:00,1016633.1106890165
2024-05-03 11:30:00,1017630.0723627836
2024-05-03 11:45:00,1018682.3525383207
2024-05-03 12:00:00,1018643.6259122908
2024-05-03 12:15:00,1018761.8188397924
2024-05-03 12:30:00,1018233.7005754034
2024-05-03 12:45:00,1016924.1832717039
2024-05-03 13:00:00,1018826.4448626176
2024-05-03 13:15:00,1017604.7077668306
2024-05-03 13:30:00,1018041.9158871919
2024-05-03 13:45:00,1018618.813222458
2024-05-03 14:00:00,1018737.5021994764
2024-05-03 14:15:00,1018217.7814200574
2024-05-03 14:30:00,1017780.1544764691
2024-05-03 14:45:00,1017402.4321711713
2024-05-03 15:00:00,1016557.0921023542
2024-05-03 15:15:00,1017016.3808234388
2024-05-03 15:30:00,1016902.1569121534
2024-05-03 15:45:00,1016391.3595698529
2024-05-06 09:30:00,1027476.7278655225
2024-05-06 09:45:00,1025863.801025694
2024-05-06 10:00:00,1025747.6463498155
2024-05-06 10:15:00,1025772.326428322
2024-05-06 10:30:00,1026582.57225058
2024-05-06 10:45:00,1025731.2001506311
2024-05-06 11:00:00,1023751.226408249
2024-05-06 11:15:00,1023727.705403824
2024-05-06 11:30:00,1025044.0150695039
2024-05-06 11:45:00,1025276.5709694254
2024-05-06 12:00:00,1024558.9102079946
2024-05-06 12:15:00,1024833.3049708387
2024-05-06 12:30:00,1025867.5020336935
2024-05-06 12:45:00,1025979.14014563
2024-05-06 13:00:00,1025368.0474532548
2024-05-06 13:15:00,1026116.7920905229
2024-05-06 13:30:00,1026547.5873818018
2024-05-06 13:45:00,1027045.0103058435
2024-05-06 14:00:00,1028013.5901503755
2024-05-06 14:15:00,1028983.3349052584
2024-05-06 14:30:00,1027929.2050052797
2024-05-06 14:45:00,1027879.5748290216
2024-05-06 15:00:00,1026788.9646483385
2024-05-06 15:15:00,1026295.4810790368
2024-05-06 15:30:00,1027052.4990551989
2024-05-06 15:45:00,1028620.633536871
2024-05-07 09:30:00,1033046.70288616
2024-05-07 09:45:00,1034411.4404856932
2024-05-07 10:00:00,1038821.68287558
2024-05-07 10:15:00,1040505.6468076174
2024-05-07 10:30:00,1039668.9435357515
2024-05-07 10:45:00,1040735.7405366366
2024-05-07 11:00:00,1039730.842364258
2024-05-07 11:15:00,1039477.7219438021
2024-05-07 11:30:00,1039531.6994637911
2024-05-07 11:45:00,1040064.6886872713
2024-05-07 12:00:00,1040711.2261609499
2024-05-07 12:15:00,1040805.198035187
2024-05-07 12:30:00,1039410.7446499864
2024-05-07 12:45:00,1039174.3036290208
2024-05-07 13:00:00,1039861.3695736924
2024-05-07 13:15:00,1040380.942575554
2024-05-07 13:30:00,1040443.1239129106
2024-05-07 13:45:00,1037901.9129601518
2024-05-07 14:00:00,1037756.1723805467
2024-05-07 14:15:00,1037047.5707665483
2024-05-07 14:30:00,1037533.4401341478
2024-05-07 14:45:00,1036837.9972077409
2024-05-07 15:00:00,1036394.0109635392
2024-05-07 15:15:00,1036173.3797379533
