,date,tic,open,high,low,close,volume,day,macd,boll_ub,boll_lb,rsi_30,cci_30,dx_30,close_30_sma,close_60_sma
0,2023-10-25,AAPL,171.8800048828125,173.05999755859375,170.64999389648438,170.4259796142578,57157000.0,2.0,0.0,174.25967537574672,162.3988481838236,0.0,-66.66666666666615,100.0,170.4259796142578,170.4259796142578
1,2023-10-25,AMGN,275.0899963378906,276.69000244140625,272.0899963378906,266.05255126953125,2302300.0,2.0,0.0,174.25967537574672,162.3988481838236,0.0,-66.66666666666615,100.0,266.05255126953125,266.05255126953125
2,2023-10-25,AXP,144.08999633789062,144.83999633789062,143.22999572753906,142.615966796875,2841400.0,2.0,0.0,174.25967537574672,162.3988481838236,0.0,-66.66666666666615,100.0,142.615966796875,142.615966796875
3,2023-10-25,BA,186.0,187.0,176.25,177.72999572753906,13806400.0,2.0,0.0,174.25967537574672,162.3988481838236,0.0,-66.66666666666615,100.0,177.72999572753906,177.72999572753906
4,2023-10-25,CAT,249.8699951171875,250.77000427246094,244.5,242.9249267578125,2542400.0,2.0,0.0,174.25967537574672,162.3988481838236,0.0,-66.66666666666615,100.0,242.9249267578125,242.9249267578125
5,2023-10-25,CRM,203.1999969482422,203.74000549316406,195.42999267578125,196.80291748046875,4490000.0,2.0,0.0,174.25967537574672,162.3988481838236,0.0,-66.66666666666615,100.0,196.80291748046875,196.80291748046875
6,2023-10-25,CSCO,53.11000061035156,53.369998931884766,52.33000183105469,51.57405090332031,14384700.0,2.0,0.0,174.25967537574672,162.3988481838236,0.0,-66.66666666666615,100.0,51.57405090332031,51.57405090332031
7,2023-10-25,CVX,156.94000244140625,157.41000366210938,155.1699981689453,151.06260681152344,10502400.0,2.0,0.0,174.25967537574672,162.3988481838236,0.0,-66.66666666666615,100.0,151.06260681152344,151.06260681152344
8,2023-10-25,DIS,82.12999725341797,82.55000305175781,80.5199966430664,80.32820129394531,9372500.0,2.0,0.0,174.25967537574672,162.3988481838236,0.0,-66.66666666666615,100.0,80.32820129394531,80.32820129394531
9,2023-10-25,DOW,48.93000030517578,49.029998779296875,47.2599983215332,46.31281280517578,4920200.0,2.0,0.0,174.25967537574672,162.3988481838236,0.0,-66.66666666666615,100.0,46.31281280517578,46.31281280517578
10,2023-10-25,GS,298.6000061035156,300.0,295.0299987792969,292.2718505859375,1809300.0,2.0,0.0,174.25967537574672,162.3988481838236,0.0,-66.66666666666615,100.0,292.2718505859375,292.2718505859375
11,2023-10-25,HD,281.75,283.2300109863281,279.20001220703125,277.3970947265625,2962800.0,2.0,0.0,174.25967537574672,162.3988481838236,0.0,-66.66666666666615,100.0,277.3970947265625,277.3970947265625
12,2023-10-25,HON,181.4499969482422,181.77999877929688,177.97999572753906,175.15301513671875,4147400.0,2.0,0.0,174.25967537574672,162.3988481838236,0.0,-66.66666666666615,100.0,175.15301513671875,175.15301513671875
