AAPL,AMGN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,GS,HD,HON,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PG,TRV,UNH,V,VZ,WBA,WMT
0,9,15,11,29,2,0,0,43,15,1,7,32,24,0,22,0,11,10,31,0,1,2,29,0,10,0,0,0
0,9,15,11,29,2,0,0,43,15,1,7,32,24,0,22,0,11,10,31,0,1,2,29,0,10,0,0,0
0,9,15,11,29,2,0,0,43,15,1,7,32,24,0,22,0,11,10,31,0,1,2,29,0,10,0,0,0
0,9,15,11,29,2,0,0,43,15,1,7,32,24,0,22,0,11,10,31,0,1,2,29,0,10,0,0,0
0,9,15,11,29,2,0,0,43,15,1,7,32,24,0,22,0,11,10,31,0,1,2,29,0,10,0,0,0
0,9,15,11,29,2,0,0,43,15,1,7,32,24,0,22,0,11,10,31,0,1,2,29,0,10,0,0,0
0,9,15,11,29,2,0,0,43,15,1,7,32,24,0,22,0,11,10,31,0,1,2,29,0,10,0,0,0
0,9,15,11,29,2,0,0,43,15,1,7,32,24,0,22,0,11,10,31,0,1,2,29,0,10,0,0,0
0,9,15,11,29,2,0,0,43,15,1,7,32,24,0,22,0,11,10,31,0,1,2,29,0,10,0,0,0
0,9,15,11,29,2,0,0,43,15,1,7,32,24,0,22,0,11,10,31,0,1,2,29,0,10,0,0,0
0,9,15,11,29,2,0,0,43,15,1,7,32,24,0,22,0,11,10,31,0,1,2,29,0,10,0,0,0
0,9,15,11,29,2,0,0,43,15,1,7,32,24,0,22,0,11,10,31,0,1,2,29,0,10,0,0,0
0,9,15,11,29,2,0,0,43,15,1,7,32,24,0,22,0,11,10,31,0,1,2,29,0,10,0,0,0
0,9,15,11,29,2,0,0,43,15,1,7,32,24,0,22,0,11,10,31,0,1,2,29,0,10,0,0,0
0,9,15,11,29,2,0,0,43,15,1,7,32,24,0,22,0,11,10,31,0,1,2,29,0,10,0,0,0
0,9,15,11,29,2,0,0,43,15,1,7,32,24,0,22,0,11,10,31,0,1,2,29,0,10,0,0,0
0,9,15,11,29,2,0,0,43,15,1,7,32,24,0,22,0,11,10,31,0,1,2,29,0,10,0,0,0
0,9,15,11,29,2,0,0,43,15,1,7,32,24,0,22,0,11,10,31,0,1,2,29,0,10,0,0,0
0,9,15,11,29,2,0,0,43,15,1,7,32,24,0,22,0,11,10,31,0,1,2,29,0,10,0,0,0
0,9,15,11,29,2,0,0,43,15,1,7,32,24,0,22,0,11,10,31,0,1,2,29,0,10,0,0,0
0,9,15,11,29,2,0,0,43,15,1,7,32,24,0,22,0,11,10,31,0,1,2,29,0,10,0,0,0
0,9,15,11,29,2,0,0,43,15,1,7,32,24,0,22,0,11,10,31,0,1,2,29,0,10,0,0,0
0,9,15,11,29,2,0,0,43,15,1,7,32,24,0,22,0,11,10,31,0,1,2,29,0,10,0,0,0
0,9,15,11,29,2,0,0,43,15,1,7,32,24,0,22,0,11,10,31,0,1,2,29,0,10,0,0,0
0,9,15,11,29,2,0,0,43,15,1,7,32,24,0,22,0,11,10,31,0,1,2,29,0,10,0,0,0
0,9,15,11,29,2,0,0,43,15,1,7,32,24,0,22,0,11,10,31,0,1,2,29,0,10,0,0,0
0,15,14,9,33,-5,0,0,39,14,5,6,23,24,0,19,0,11,15,36,0,-2,-4,33,0,13,0,0,3
0,15,14,9,33,-5,0,0,39,14,5,6,23,24,0,19,0,11,15,36,0,-2,-4,33,0,13,0,0,3
0,22,3,0,24,-12,1,0,43,0,0,0,26,26,0,0,0,0,0,40,0,-1,-5,30,0,0,0,0,0
5,0,-16,0,6,-19,0,0,-9,4,2,12,-4,-9,6,-1,0,0,6,12,3,-14,-12,-19,12,4,0,0,12
5,0,-16,0,6,-11,0,0,-9,0,0,12,-4,-9,6,-1,0,0,6,12,0,-7,-12,-19,12,2,0,0,12
0,0,-16,0,2,0,1,0,-9,0,0,12,-4,-9,0,-1,0,0,0,12,0,0,-12,-19,12,0,0,0,12
0,0,-16,0,0,0,1,0,-9,0,0,12,-4,-9,0,-1,0,0,0,12,0,0,-3,-19,9,0,0,0,12
0,0,-16,0,0,0,0,0,-9,0,0,12,-4,-9,0,-1,0,0,0,12,0,0,0,-19,8,0,0,0,12
0,0,-16,0,2,0,0,0,-9,0,0,12,-4,-9,0,-1,0,0,0,12,0,0,0,-19,7,0,0,0,12
0,0,-16,0,2,0,0,0,-9,0,0,12,-4,-9,0,-1,0,0,0,12,0,0,0,-19,7,0,0,0,12
0,0,-16,0,2,0,0,0,-9,0,0,12,-4,-9,0,-1,0,0,0,12,0,0,0,-19,7,0,0,0,12
0,0,-16,0,0,0,2,0,-9,0,0,12,-4,-9,0,-1,0,0,0,12,0,0,0,-19,8,0,0,0,12
0,0,-16,0,0,0,0,0,-9,0,0,12,-4,-9,0,-1,0,0,0,12,0,0,0,-19,8,0,0,0,12
